monthly_requests,teacher,base,fine_tuned
0.0,0.0,9000.0,9000.0
100.0,2000.0,9200.0,9200.0
200.0,4000.0,9400.0,9400.0
300.0,6000.0,9600.0,9600.0
400.0,8000.0,9800.0,9800.0
500.0,10000.0,10000.0,10000.0
600.0,12000.0,10200.0,10200.0
700.0,14000.0,10400.0,10400.0
800.0,16000.0,10600.0,10600.0
900.0,18000.0,10800.0,10800.0
1000.0,20000.0,11000.0,11000.0
1100.0,22000.0,11200.0,11200.0
1200.0,24000.0,11400.0,11400.0
1300.0,26000.0,11600.0,11600.0
1400.0,28000.0,11800.0,11800.0
1500.0,30000.0,12000.0,12000.0
1600.0,32000.0,12200.0,12200.0
1700.0,34000.0,12400.0,12400.0
1800.0,36000.0,12600.0,12600.0
1900.0,38000.0,12800.0,12800.0
2000.0,40000.0,13000.0,13000.0
